project,name,state,created,duration_hrs,tags,train_return,test_return,loss_actor,loss_critic,entropy_coef,wm_kl,wm_total_loss,debug_alpha_steer,debug_alpha_gas,debug_log_std_mean,epoch,memory_len,kl_div_loss
trackmania-rl,DroQ_v0.6_Asymritic_UTD20_AMP,killed,2026-02-20T10:26:29Z,174.47,,,,-3.2566349897,0.0089225999,0.1022784749,,,0.1022414932,0.1021958527,-0.1412760906,,1000000,
trackmania-rl,DroQ_v0.7_Collapse_Test,killed,2026-02-27T16:55:00Z,8.56,,,,-2.3531113014,0.0151264533,0.1730306166,,,0.1730369806,0.1729776126,-0.138707565,,486196,
trackmania-rl,DroQ_v0.8_Collapse_Test,killed,2026-02-28T01:29:26Z,5.29,,,,0.3427949916,0.0067213374,0.1728182214,,,0.172659294,0.1729879415,-0.1349474809,,318233,
trackmania-rl,DroQ_v0.9_AsymSAC_PER,killed,2026-02-28T07:39:53Z,5.12,,,,-0.0440779153,0.0002262458,0.1862748677,,,0.1862102497,0.1862998605,-0.1203110448,,97341,
trackmania-rl,DroQ_v0.9_AsymSAC_PER_test_2,failed,2026-02-28T12:47:42Z,15.09,,,,-6.2875058393,0.0006506391,0.0199999996,,,0.0199999996,0.0199999996,-0.2130095516,,687570,
trackmania-rl,DroQ_v0.9_AsymSAC_PER_test_3,killed,2026-03-01T03:56:44Z,3.57,,,,-4.2593696108,0.0001542225,0.0981667506,,,0.0982105942,0.0980246024,-0.1295104598,,133458,
trackmania-rl,SPECTRE,killed,2026-03-01T07:37:49Z,72.52,,,,-8.4009835129,0.1272351816,0.0219441793,,,0.0225689953,0.0217672836,-0.2415985152,,1000000,0.0113239714
trackmania-rl,SPECTRE_v1,killed,2026-03-04T15:26:35Z,12.25,,,,-7.1267364244,0.1204495004,0.0033395296,,,0.0041777661,0.004026409,-0.4716170068,,865157,2.85317e-05
trackmania-rl,SPECTRE_v2,killed,2026-03-05T03:46:03Z,31.16,,,,-8.3556527119,0.1541845634,0.0030647514,,,0.004313464,0.0035995384,-0.4517199577,,364712,0.0002590216
trackmania-rl,SPECTRE_v3,killed,2026-03-06T10:56:00Z,38.87,,,,-6.4235122213,0.1971293016,0.010008753,,,0.0100262589,0.0099999998,-0.4200802243,,1000000,10.6319497414
trackmania-rl,SPECTRE_v4,killed,2026-03-08T01:59:33Z,10.29,,,,9.2675854664,15.2174387858,0.0142226576,,,0.0156421951,0.0125118554,-0.5547332078,,1000000,65.2122453537
trackmania-rl,SPECTRE_v5,killed,2026-03-08T12:18:49Z,38.39,,,,-7.2260878534,0.096982738,0.0115954439,,,0.0146948315,0.0099999998,-0.3487963891,,1000000,28.3456420593
trackmania-rl,SPECTRE_v6,killed,2026-03-10T02:42:35Z,12.22,,,,-12.8515582561,0.1446008381,0.0500000045,,,0.0500000007,0.0500000007,-0.1577293529,,884595,29.4469351158
trackmania-rl,SPECTRE_v7,killed,2026-03-10T15:04:27Z,10.92,,,,-12.3891268177,0.1353234204,0.0500000045,0.6321065998,,0.0500000007,0.0500000007,-0.1282914771,,780441,27.4443832588
trackmania-rl,SPECTRE_v8,killed,2026-03-11T02:00:12Z,22.27,,,,-36.6146100922,0.742746167,0.1001113256,0.5303638656,,0.1284053903,0.093451764,-0.1474612758,,749955,82.5219341888
trackmania-rl,SPECTRE_v9,failed,2026-03-12T00:16:41Z,28.2,,,,-5.3461247616,0.0375166111,0.0571229768,0.8856559519,,0.075000003,0.0481873475,-0.1445726881,,71709,5.1973751011
trackmania-rl,SPECTRE_v10,killed,2026-03-13T06:41:53Z,17.0,,,,-47.2568824234,2.1542550015,0.32722728,0.9185085986,,0.4686784772,0.2939278842,-0.1359806838,,490933,58.4818239899
trackmania-rl,SPECTRE_v10.5,killed,2026-03-13T23:42:26Z,1.65,,,,-11.3345228386,0.2612958729,0.2333333343,0.6480541117,,0.375,0.200000003,-0.1380127222,,79669,19.6996161079
trackmania-rl,SPECTRE_v11,killed,2026-03-14T01:22:30Z,7.82,,,,-76.3564029846,9.3851251631,0.5745072573,0.6438875475,,0.7159792964,0.5412073252,-0.1375251482,,431852,75.8164019318
trackmania-rl,SPECTRE_v12,crashed,2026-03-14T09:12:33Z,27.69,,,,-39.230997467,2.3469160419,0.2333333343,0.6589948756,,0.375,0.200000003,-0.1406686069,,727536,74.2300213928
trackmania-rl,SPECTRE_v13,killed,2026-03-14T22:22:59Z,172.0,,,,-35.6675741196,1.5639467304,0.2333333343,0.7641717966,,0.375,0.200000003,-0.139550358,,818742,57.983210228
trackmania-rl,SPECTRE_v14,killed,2026-03-22T02:23:18Z,4.31,,,,-3.1439602013,0.0229864242,0.1493058816,0.9059955907,,0.1492780501,0.1492988142,-0.1400734627,,202655,2.4405180669
trackmania-rl,SPECTRE_v15,killed,2026-03-22T06:43:41Z,5.05,,,,-2.1593273516,0.0191318912,0.1734676236,0.8551398536,,0.1735543618,0.1733481538,-0.1358226569,,185518,13.9039360428
trackmania-rl,SPECTRE_v16,killed,2026-03-22T11:52:44Z,37.08,,,,-11.2711679478,0.1576323012,0.0746978192,0.7065676311,,0.1199999973,0.0640000105,-0.1321405113,,1000000,17.2442870426
trackmania-rl,SPECTRE_v17,killed,2026-03-24T00:58:14Z,0.97,,,,,,,,,,,,,,
trackmania-rl,SPECTRE_v18,killed,2026-03-24T02:00:34Z,0.05,,,,,,,,,,,,,,
trackmania-rl,SPECTRE_v19,killed,2026-03-24T02:04:28Z,21.18,,,,-10.7804182587,0.1346461443,0.0435323918,0.6815672358,,0.0436125262,0.0434776682,-0.1630066931,,1000000,26.1886093788
